ticker,fiscal_quarter,eps_beat,next_quarter_estimated,next_quarter_actual
JPM,2020-Q3,1,2.72,3.79
JPM,2020-Q4,1,3.05,4.5
JPM,2021-Q1,1,3.1,3.78
JPM,2021-Q2,1,3.0,3.74
JPM,2021-Q3,1,2.98,3.33
JPM,2021-Q4,0,2.73,2.63
JPM,2022-Q1,0,2.85,2.76
JPM,2022-Q2,1,2.96,3.12
JPM,2022-Q3,1,3.11,3.57
JPM,2022-Q4,1,3.41,4.1
JPM,2023-Q1,1,3.62,4.37
JPM,2023-Q2,1,3.89,4.33
JPM,2023-Q3,1,3.73,3.97
JPM,2023-Q4,1,4.18,4.63
JPM,2024-Q1,1,4.19,4.4
JPM,2024-Q2,1,4.02,4.37
JPM,2024-Q3,1,4.03,4.81
JPM,2024-Q4,1,4.62,5.07
JPM,2025-Q1,1,4.51,4.96
JPM,2025-Q2,1,4.83,5.07
JPM,2025-Q3,1,4.87,5.23
MS,2014-Q4,1,0.79,0.85
MS,2015-Q1,1,0.73,0.79
MS,2015-Q2,0,0.64,0.34
MS,2015-Q3,1,0.35,0.43
MS,2015-Q4,1,0.46,0.55
MS,2016-Q1,1,0.6,0.75
MS,2016-Q2,1,0.64,0.8
MS,2016-Q3,1,0.65,0.81
MS,2016-Q4,1,0.9,1.0
MS,2017-Q1,1,0.76,0.87
MS,2017-Q2,1,0.81,0.93
MS,2017-Q3,1,0.77,0.84
MS,2017-Q4,1,1.28,1.45
MS,2018-Q1,1,1.08,1.3
MS,2018-Q2,1,1.0,1.17
MS,2018-Q3,0,0.9,0.73
MS,2018-Q4,1,1.17,1.33
MS,2019-Q1,1,1.13,1.23
MS,2019-Q2,1,1.1,1.21
MS,2019-Q3,1,0.98,1.2
MS,2019-Q4,0,1.07,0.99
MS,2020-Q1,1,1.17,2.04
MS,2020-Q2,1,1.26,1.59
MS,2020-Q3,1,1.29,1.92
MS,2020-Q4,1,1.72,2.22
MS,2021-Q1,1,1.63,1.89
MS,2021-Q2,1,1.7,2.04
MS,2021-Q3,1,2.0,2.08
MS,2021-Q4,1,1.69,2.06
MS,2022-Q1,0,1.55,1.44
MS,2022-Q2,1,1.51,1.53
MS,2022-Q3,1,1.25,1.31
MS,2022-Q4,1,1.67,1.7
MS,2023-Q1,1,1.14,1.24
MS,2023-Q2,1,1.27,1.38
MS,2023-Q3,1,1.05,1.13
MS,2023-Q4,1,1.69,2.02
MS,2024-Q1,1,1.65,1.82
MS,2024-Q2,1,1.57,1.88
MS,2024-Q3,1,1.65,2.22
MS,2024-Q4,1,2.23,2.6
MS,2025-Q1,1,1.93,2.13
MS,2025-Q2,1,2.08,2.8
MS,2025-Q3,1,2.41,2.68
MTB,2014-Q4,0,1.76,1.68
MTB,2015-Q1,1,1.96,2.01
MTB,2015-Q2,0,2.01,1.93
MTB,2015-Q3,0,1.98,1.65
MTB,2015-Q4,1,1.86,1.87
MTB,2016-Q1,0,2.08,2.07
MTB,2016-Q2,1,2.04,2.13
MTB,2016-Q3,0,2.03,2.01
MTB,2016-Q4,1,1.94,2.15
MTB,2017-Q1,1,2.28,2.38
MTB,2017-Q2,0,2.4,2.24
MTB,2017-Q3,1,2.4,2.66
MTB,2017-Q4,1,2.74,2.94
MTB,2018-Q1,1,3.17,3.29
MTB,2018-Q2,1,3.35,3.56
MTB,2018-Q3,1,3.51,3.79
MTB,2018-Q4,1,3.29,3.38
MTB,2019-Q1,0,3.7,3.34
MTB,2019-Q2,0,3.61,3.47
MTB,2019-Q3,1,3.47,3.6
MTB,2019-Q4,1,1.55,1.95
MTB,2020-Q1,0,1.91,1.76
MTB,2020-Q2,1,2.63,2.77
MTB,2020-Q3,1,2.96,3.54
MTB,2020-Q4,1,2.96,3.41
MTB,2021-Q1,0,3.7,3.45
MTB,2021-Q2,1,3.52,3.76
MTB,2021-Q3,1,3.29,3.5
MTB,2021-Q4,1,2.26,2.73
MTB,2022-Q1,0,3.1,3.1
MTB,2022-Q2,0,4.21,3.83
MTB,2022-Q3,1,4.47,4.57
MTB,2022-Q4,1,3.98,4.09
MTB,2023-Q1,1,4.11,5.12
MTB,2023-Q2,1,3.94,4.05
MTB,2023-Q3,0,3.67,2.81
MTB,2023-Q4,0,3.13,3.09
MTB,2024-Q1,1,3.5,3.79
MTB,2024-Q2,1,3.6,4.08
MTB,2024-Q3,1,3.7,3.92
MTB,2024-Q4,0,3.41,3.38
MTB,2025-Q1,1,4.04,4.28
MTB,2025-Q2,1,4.4,4.87
MTB,2025-Q3,1,4.44,4.72
PNC,2014-Q4,1,1.71,1.75
PNC,2015-Q1,1,1.77,1.88
PNC,2015-Q2,1,1.78,1.9
PNC,2015-Q3,1,1.8,1.87
PNC,2015-Q4,0,1.69,1.68
PNC,2016-Q1,1,1.75,1.82
PNC,2016-Q2,1,1.78,1.84
PNC,2016-Q3,1,1.86,1.97
PNC,2016-Q4,1,1.84,1.96
PNC,2017-Q1,1,2.01,2.1
PNC,2017-Q2,1,2.13,2.16
PNC,2017-Q3,1,2.2,2.29
PNC,2017-Q4,1,2.42,2.43
PNC,2018-Q1,1,2.58,2.72
PNC,2018-Q2,1,2.73,2.82
PNC,2018-Q3,0,2.77,2.75
PNC,2018-Q4,1,2.59,2.61
PNC,2019-Q1,1,2.83,2.88
PNC,2019-Q2,1,2.8,2.94
PNC,2019-Q3,1,2.92,2.97
PNC,2019-Q4,1,1.38,1.95
PNC,2020-Q1,0,0.88,-1.9
PNC,2020-Q2,1,2.09,3.39
PNC,2020-Q3,1,2.65,3.26
PNC,2020-Q4,1,2.75,4.1
PNC,2021-Q1,1,3.16,4.5
PNC,2021-Q2,1,3.64,3.75
PNC,2021-Q3,1,3.61,3.68
PNC,2021-Q4,1,2.78,3.29
PNC,2022-Q1,1,3.11,3.42
PNC,2022-Q2,1,3.66,3.78
PNC,2022-Q3,0,3.95,3.49
PNC,2022-Q4,1,3.6,3.98
PNC,2023-Q1,1,3.31,3.36
PNC,2023-Q2,1,3.18,3.6
PNC,2023-Q3,1,2.99,3.16
PNC,2023-Q4,1,3.09,3.36
PNC,2024-Q1,1,3.0,3.3
PNC,2024-Q2,1,3.29,3.49
PNC,2024-Q3,1,3.3,3.77
PNC,2024-Q4,1,3.4,3.51
PNC,2025-Q1,1,3.56,3.85
PNC,2025-Q2,1,4.05,4.35
PNC,2025-Q3,1,4.23,4.88
STT,2014-Q4,1,1.05,1.17
STT,2015-Q1,0,1.37,1.37
STT,2015-Q2,0,1.25,1.16
STT,2015-Q3,1,1.19,1.21
STT,2015-Q4,1,0.88,0.98
STT,2016-Q1,1,1.26,1.46
STT,2016-Q2,1,1.25,1.35
STT,2016-Q3,1,1.34,1.48
STT,2016-Q4,1,1.1,1.21
STT,2017-Q1,1,1.57,1.67
