Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2015-07-14 11:00:00,1.44,1.54,2015-07-14,1.44,1.54,2015-Q3,JPM
2015-10-13 20:00:00,1.37,1.32,2015-10-13,1.37,1.32,2015-Q4,JPM
2016-01-14 11:00:00,1.26,1.32,2016-01-14,1.26,1.32,2016-Q1,JPM
2016-04-13 10:00:00,1.26,1.35,2016-04-13,1.26,1.35,2016-Q2,JPM
2016-07-14 10:00:00,1.43,1.55,2016-07-14,1.43,1.55,2016-Q3,JPM
2016-10-14 06:00:00,1.39,1.58,2016-10-14,1.39,1.58,2016-Q4,JPM
2017-01-13 12:00:00,1.42,1.58,2017-01-13,1.42,1.58,2017-Q1,JPM
2017-04-13 10:00:00,1.51,1.65,2017-04-13,1.51,1.65,2017-Q2,JPM
2017-07-14 10:00:00,1.59,1.71,2017-07-14,1.59,1.71,2017-Q3,JPM
2017-10-12 10:00:00,1.66,1.76,2017-10-12,1.66,1.76,2017-Q4,JPM
2018-01-12 11:00:00,1.69,1.76,2018-01-12,1.69,1.76,2018-Q1,JPM
2018-04-13 10:00:00,2.29,2.26,2018-04-13,2.29,2.26,2018-Q2,JPM
2018-07-13 10:00:00,2.22,2.29,2018-07-13,2.22,2.29,2018-Q3,JPM
2018-10-12 10:00:00,2.26,2.34,2018-10-12,2.26,2.34,2018-Q4,JPM
2019-01-15 11:00:00,2.19,1.98,2019-01-15,2.19,1.98,2019-Q1,JPM
2019-04-12 10:00:00,2.35,2.65,2019-04-12,2.35,2.65,2019-Q2,JPM
2019-07-16 10:00:00,2.49,2.82,2019-07-16,2.49,2.82,2019-Q3,JPM
2019-10-15 10:00:00,2.45,2.68,2019-10-15,2.45,2.68,2019-Q4,JPM
2020-01-14 11:00:00,2.36,2.57,2020-01-14,2.36,2.57,2020-Q1,JPM
2020-04-14 10:00:00,2.2,2.89,2020-04-14,2.2,2.89,2020-Q2,JPM
2020-07-14 10:00:00,1.21,1.08,2020-07-14,1.21,1.08,2020-Q3,JPM
2020-10-13 10:00:00,2.24,3.09,2020-10-13,2.24,3.09,2020-Q4,JPM
2021-01-15 11:00:00,2.65,3.07,2021-01-15,2.65,3.07,2021-Q1,JPM
2021-04-14 10:00:00,3.06,4.59,2021-04-14,3.06,4.59,2021-Q2,JPM
2021-07-13 10:00:00,3.17,3.78,2021-07-13,3.17,3.78,2021-Q3,JPM
2021-10-13 10:00:00,3.0,3.55,2021-10-13,3.0,3.55,2021-Q4,JPM
2022-01-14 11:00:00,3.03,3.33,2022-01-14,3.03,3.33,2022-Q1,JPM
2022-04-13 10:00:00,2.71,2.63,2022-04-13,2.71,2.63,2022-Q2,JPM
2022-07-14 10:00:00,2.9,2.76,2022-07-14,2.9,2.76,2022-Q3,JPM
2022-10-14 10:00:00,2.85,3.12,2022-10-14,2.85,3.12,2022-Q4,JPM
2023-01-13 11:00:00,3.1,3.57,2023-01-13,3.1,3.57,2023-Q1,JPM
2023-04-14 10:00:00,3.37,4.1,2023-04-14,3.37,4.1,2023-Q2,JPM
2023-07-14 10:00:00,3.76,4.75,2023-07-14,3.76,4.75,2023-Q3,JPM
2023-10-13 10:00:00,3.97,4.33,2023-10-13,3.97,4.33,2023-Q4,JPM
2024-01-12 11:00:00,3.6,3.04,2024-01-12,3.6,3.04,2024-Q1,JPM
2024-04-12 10:00:00,4.13,4.44,2024-04-12,4.13,4.44,2024-Q2,JPM
2024-07-12 10:00:00,4.53,6.12,2024-07-12,4.53,6.12,2024-Q3,JPM
2024-10-11 10:00:00,3.99,4.37,2024-10-11,3.99,4.37,2024-Q4,JPM
2025-01-15 11:00:00,4.04,4.81,2025-01-15,4.04,4.81,2025-Q1,JPM
2025-04-11 10:00:00,4.64,5.07,2025-04-11,4.64,5.07,2025-Q2,JPM
2025-07-15 10:00:00,4.47,4.96,2025-07-15,4.47,4.96,2025-Q3,JPM
2025-10-14 10:00:00,4.87,5.07,2025-10-14,4.87,5.07,2025-Q4,JPM
2026-01-13 11:00:00,4.82,4.63,2026-01-13,4.82,4.63,2026-Q1,JPM
2026-04-14 13:00:00,5.32,,2026-04-14,5.32,,2026-Q2,JPM
2001-06-21 12:00:00,0.81,0.82,2001-06-21,0.81,0.82,2001-Q2,MS
2001-09-21 12:00:00,0.64,0.65,2001-09-21,0.64,0.65,2001-Q3,MS
2001-12-19 13:00:00,0.69,0.78,2001-12-19,0.69,0.78,2001-Q4,MS
2002-03-26 13:00:00,0.69,0.76,2002-03-26,0.69,0.76,2002-Q1,MS
2002-06-19 12:00:00,0.72,0.72,2002-06-19,0.72,0.72,2002-Q2,MS
2002-09-19 12:00:00,0.67,0.55,2002-09-19,0.67,0.55,2002-Q3,MS
2002-12-19 13:00:00,0.74,0.81,2002-12-19,0.74,0.81,2002-Q4,MS
2003-03-20 13:00:00,0.63,0.82,2003-03-20,0.63,0.82,2003-Q1,MS
2003-06-18 12:00:00,0.68,0.55,2003-06-18,0.68,0.55,2003-Q2,MS
2003-09-23 12:00:00,0.7,0.83,2003-09-23,0.7,0.83,2003-Q3,MS
2003-12-18 13:00:00,0.9,0.94,2003-12-18,0.9,0.94,2003-Q4,MS
2004-03-18 13:00:00,0.95,1.11,2004-03-18,0.95,1.11,2004-Q1,MS
2004-06-22 12:00:00,1.06,1.1,2004-06-22,1.06,1.1,2004-Q2,MS
2004-09-22 12:00:00,0.97,0.78,2004-09-22,0.97,0.78,2004-Q3,MS
2004-12-21 13:00:00,1.03,1.09,2004-12-21,1.03,1.09,2004-Q4,MS
2005-03-17 13:00:00,1.22,1.29,2005-03-17,1.22,1.29,2005-Q1,MS
2005-06-22 12:00:00,1.02,0.86,2005-06-22,1.02,0.86,2005-Q2,MS
2005-09-21 12:00:00,0.6,1.09,2005-09-21,0.6,1.09,2005-Q3,MS
2005-12-20 13:00:00,1.09,1.64,2005-12-20,1.09,1.64,2005-Q4,MS
2006-03-22 13:00:00,1.21,1.5,2006-03-22,1.21,1.5,2006-Q1,MS
2006-06-21 12:00:00,1.43,1.85,2006-06-21,1.43,1.85,2006-Q2,MS
2006-09-20 12:00:00,1.25,1.75,2006-09-20,1.25,1.75,2006-Q3,MS
2006-12-19 12:00:00,1.76,2.08,2006-12-19,1.76,2.08,2006-Q4,MS
2007-03-21 11:00:00,1.93,2.4,2007-03-21,1.93,2.4,2007-Q1,MS
2007-06-20 11:00:00,2.0,2.45,2007-06-20,2.0,2.45,2007-Q2,MS
2007-09-19 11:00:00,1.44,1.38,2007-09-19,1.44,1.38,2007-Q3,MS
2007-12-19 12:00:00,-0.43,-3.61,2007-12-19,-0.43,-3.61,2007-Q4,MS
2008-03-19 11:00:00,1.11,1.45,2008-03-19,1.11,1.45,2008-Q1,MS
2008-06-18 12:00:00,0.94,0.95,2008-06-18,0.94,0.95,2008-Q2,MS
2008-09-16 20:00:00,0.81,1.32,2008-09-16,0.81,1.32,2008-Q3,MS
2008-12-17 13:00:00,-0.18,-2.24,2008-12-17,-0.18,-2.24,2008-Q4,MS
2009-07-22 12:00:00,-0.44,-1.37,2009-07-22,-0.44,-1.37,2009-Q3,MS
2009-10-21 12:00:00,0.28,0.38,2009-10-21,0.28,0.38,2009-Q4,MS
2010-01-20 13:00:00,0.33,0.14,2010-01-20,0.33,0.14,2010-Q1,MS
2010-04-21 11:00:00,0.7,0.99,2010-04-21,0.7,0.99,2010-Q2,MS
2010-05-07 00:00:00,0.37,-0.57,2010-05-07,0.37,-0.57,2010-Q2,MS
2010-07-21 12:00:00,0.63,1.09,2010-07-21,0.63,1.09,2010-Q3,MS
2010-10-20 11:00:00,0.26,-0.07,2010-10-20,0.26,-0.07,2010-Q4,MS
2011-01-20 12:00:00,0.49,0.41,2011-01-20,0.49,0.41,2011-Q1,MS
2011-04-21 11:00:00,0.35,0.5,2011-04-21,0.35,0.5,2011-Q2,MS
2011-07-21 11:00:00,-0.61,-0.38,2011-07-21,-0.61,-0.38,2011-Q3,MS
2011-10-19 11:00:00,0.31,1.15,2011-10-19,0.31,1.15,2011-Q4,MS
2012-01-19 12:00:00,-0.55,-0.15,2012-01-19,-0.55,-0.15,2012-Q1,MS
2012-04-19 11:00:00,-0.26,-0.06,2012-04-19,-0.26,-0.06,2012-Q2,MS
2012-07-19 11:00:00,0.37,0.29,2012-07-19,0.37,0.29,2012-Q3,MS
2012-10-18 11:00:00,-0.34,-0.55,2012-10-18,-0.34,-0.55,2012-Q4,MS
2013-01-18 12:00:00,0.02,0.25,2013-01-18,0.02,0.25,2013-Q1,MS
2013-04-18 11:00:00,0.53,0.49,2013-04-18,0.53,0.49,2013-Q2,MS
2013-07-18 11:00:00,0.42,0.41,2013-07-18,0.42,0.41,2013-Q3,MS
2013-10-18 11:00:00,0.37,0.45,2013-10-18,0.37,0.45,2013-Q4,MS
2014-01-17 12:00:00,0.42,0.07,2014-01-17,0.42,0.07,2014-Q1,MS
2014-04-17 10:00:00,0.59,0.74,2014-04-17,0.59,0.74,2014-Q2,MS
2014-07-17 11:00:00,0.55,0.94,2014-07-17,0.55,0.94,2014-Q3,MS
2014-10-17 11:00:00,0.55,0.84,2014-10-17,0.55,0.84,2014-Q4,MS
2015-01-20 12:00:00,0.75,0.47,2015-01-20,0.75,0.47,2015-Q1,MS
2015-04-20 11:00:00,0.79,1.18,2015-04-20,0.79,1.18,2015-Q2,MS
2015-07-20 11:00:00,0.74,0.85,2015-07-20,0.74,0.85,2015-Q3,MS
2015-10-19 10:00:00,0.64,0.48,2015-10-19,0.64,0.48,2015-Q4,MS
2016-01-19 11:00:00,0.3,0.39,2016-01-19,0.3,0.39,2016-Q1,MS
2016-04-18 10:00:00,0.49,0.55,2016-04-18,0.49,0.55,2016-Q2,MS
2016-07-20 10:00:00,0.59,0.75,2016-07-20,0.59,0.75,2016-Q3,MS
2016-10-19 10:00:00,0.63,0.81,2016-10-19,0.63,0.81,2016-Q4,MS
2017-01-17 11:00:00,0.66,0.81,2017-01-17,0.66,0.81,2017-Q1,MS
2017-04-19 10:00:00,0.9,1.0,2017-04-19,0.9,1.0,2017-Q2,MS
2017-07-19 10:00:00,0.75,0.87,2017-07-19,0.75,0.87,2017-Q3,MS
2017-10-17 10:00:00,0.81,0.93,2017-10-17,0.81,0.93,2017-Q4,MS
2018-01-18 11:00:00,0.09,0.29,2018-01-18,0.09,0.29,2018-Q1,MS
2018-04-18 10:00:00,1.24,1.45,2018-04-18,1.24,1.45,2018-Q2,MS
2018-07-18 10:00:00,1.11,1.3,2018-07-18,1.11,1.3,2018-Q3,MS
2018-10-16 10:00:00,1.02,1.17,2018-10-16,1.02,1.17,2018-Q4,MS
2019-01-17 12:00:00,0.91,0.8,2019-01-17,0.91,0.8,2019-Q1,MS
2019-04-17 11:00:00,1.17,1.39,2019-04-17,1.17,1.39,2019-Q2,MS
2019-07-18 11:00:00,1.13,1.23,2019-07-18,1.13,1.23,2019-Q3,MS
2019-10-17 11:00:00,1.11,1.27,2019-10-17,1.11,1.27,2019-Q4,MS
2020-01-16 12:00:00,1.0,1.3,2020-01-16,1.0,1.3,2020-Q1,MS
2020-04-16 12:00:00,1.17,1.01,2020-04-16,1.17,1.01,2020-Q2,MS
2020-07-16 11:00:00,1.11,1.96,2020-07-16,1.11,1.96,2020-Q3,MS
2020-10-15 11:00:00,1.26,1.66,2020-10-15,1.26,1.66,2020-Q4,MS
2021-01-20 12:00:00,1.26,1.81,2021-01-20,1.26,1.81,2021-Q1,MS
2021-04-16 11:00:00,1.71,2.19,2021-04-16,1.71,2.19,2021-Q2,MS
2021-07-15 11:00:00,1.65,1.85,2021-07-15,1.65,1.85,2021-Q3,MS
2021-10-14 11:00:00,1.67,1.98,2021-10-14,1.67,1.98,2021-Q4,MS
2022-01-19 12:00:00,1.92,2.01,2022-01-19,1.92,2.01,2022-Q1,MS
2022-04-14 11:00:00,1.69,2.02,2022-04-14,1.69,2.02,2022-Q2,MS
2022-07-14 11:00:00,1.54,1.39,2022-07-14,1.54,1.39,2022-Q3,MS
2022-10-14 11:00:00,1.51,1.47,2022-10-14,1.51,1.47,2022-Q4,MS
2023-01-17 13:00:00,1.28,1.26,2023-01-17,1.28,1.26,2023-Q1,MS
2023-04-19 11:00:00,1.65,1.7,2023-04-19,1.65,1.7,2023-Q2,MS
2023-07-18 11:00:00,1.17,1.24,2023-07-18,1.17,1.24,2023-Q3,MS
2023-10-18 11:00:00,1.29,1.38,2023-10-18,1.29,1.38,2023-Q4,MS
2024-01-16 12:00:00,1.03,0.85,2024-01-16,1.03,0.85,2024-Q1,MS
2024-04-16 11:00:00,1.66,2.02,2024-04-16,1.66,2.02,2024-Q2,MS
2024-07-16 11:00:00,1.66,1.82,2024-07-16,1.66,1.82,2024-Q3,MS
2024-10-16 11:00:00,1.58,1.88,2024-10-16,1.58,1.88,2024-Q4,MS
2025-01-16 13:00:00,1.69,2.22,2025-01-16,1.69,2.22,2025-Q1,MS
2025-04-11 11:00:00,2.19,2.6,2025-04-11,2.19,2.6,2025-Q2,MS
2025-07-16 11:00:00,1.96,2.13,2025-07-16,1.96,2.13,2025-Q3,MS
2025-10-15 11:00:00,2.11,2.8,2025-10-15,2.11,2.8,2025-Q4,MS
2026-01-15 12:00:00,2.45,2.68,2026-01-15,2.45,2.68,2026-Q1,MS
2026-04-15 13:00:00,2.94,,2026-04-15,2.94,,2026-Q2,MS
2001-07-19 20:00:00,0.21,0.22,2001-07-19,0.21,0.22,2001-Q3,MSFT
2001-10-18 20:00:00,0.2,0.22,2001-10-18,0.2,0.22,2001-Q4,MSFT
2002-01-17 21:00:00,0.22,0.25,2002-01-17,0.22,0.25,2002-Q1,MSFT
2002-04-18 20:00:00,0.25,0.25,2002-04-18,0.25,0.25,2002-Q2,MSFT
2002-07-18 20:00:00,0.21,0.21,2002-07-18,0.21,0.21,2002-Q3,MSFT
2002-10-17 20:00:00,0.21,0.28,2002-10-17,0.21,0.28,2002-Q4,MSFT
2003-01-16 21:00:00,0.23,0.27,2003-01-16,0.23,0.27,2003-Q1,MSFT
2003-04-15 20:00:00,0.23,0.26,2003-04-15,0.23,0.26,2003-Q2,MSFT
2003-07-17 20:00:00,0.23,0.23,2003-07-17,0.23,0.23,2003-Q3,MSFT
2003-10-23 20:00:00,0.29,0.3,2003-10-23,0.29,0.3,2003-Q4,MSFT
2004-01-22 21:00:00,0.3,0.34,2004-01-22,0.3,0.34,2004-Q1,MSFT
2004-04-22 20:00:00,0.29,0.34,2004-04-22,0.29,0.34,2004-Q2,MSFT
